Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
001_5850_FY19,0,0,1,2,3,3,6,12,,,,,,,,,,,,,,,,,
001_5851_FY19,0,26,64,87,,,,,,,,,,,,,,,,,,,,,
001_5956_FY19,21,6,0,8,,,,,,,,,,,,,,,,,,,,,
001_6052_FY19,0,0,1,36,0,,,,,,,,,,,,,,,,,,,,
001_6166_FY19,43,78,41,34,,,,,,,,,,,,,,,,,,,,,
001_6271_FY19,2,0,0,3,42,28,16,,,,,,,,,,,,,,,,,,
001_6375_FY19,2,0,1,0,0,1,6,7,17,3,,,,,,,,,,,,,,,
001_6484_FY19,93,391,100,71,,,,,,,,,,,,,,,,,,,,,
001_6488_FY19,8,16,51,37,34,,,,,,,,,,,,,,,,,,,,
001_6593_FY19,12,20,7,37,,,,,,,,,,,,,,,,,,,,,
001_6701_FY19,3,19,66,1,10,41,6,,,,,,,,,,,,,,,,,,
001_6810_FY19,3,41,56,13,35,31,5,13,14,,,,,,,,,,,,,,,,
001_6910_FY19,0,1,5,4,17,25,21,,,,,,,,,,,,,,,,,,
001_6913_FY19,20,34,50,32,,,,,,,,,,,,,,,,,,,,,
001_6918_FY19,0,2,0,0,0,0,6,0,1,,,,,,,,,,,,,,,,
001_7000_FY19,0,0,0,1,20,31,30,17,36,3,0,,,,,,,,,,,,,,
001_7010_FY19,0,21,44,65,73,,,,,,,,,,,,,,,,,,,,
001_7014_FY19,4,16,15,21,,,,,,,,,,,,,,,,,,,,,
001_7016_FY19,0,0,0,0,0,0,0,0,0,0,0,4,20,16,10,,,,,,,,,,
001_7106_FY19,4,0,0,1,12,32,58,24,22,1,0,,,,,,,,,,,,,,
001_7112_FY19,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
001_7123_FY19,0,1,13,34,0,0,0,,,,,,,,,,,,,,,,,,
001_7124_FY19,0,6,4,7,8,4,0,0,,,,,,,,,,,,,,,,,
001_7214_FY19,0,3,1,0,6,,,,,,,,,,,,,,,,,,,,
001_7222_FY19,9,23,38,57,,,,,,,,,,,,,,,,,,,,,
001_7227_FY19,5,2,0,5,,,,,,,,,,,,,,,,,,,,,
001_7331_FY19,3,6,9,9,5,6,1,5,,,,,,,,,,,,,,,,,
001_7332_FY19,2,1,10,2,5,,,,,,,,,,,,,,,,,,,,
001_7333_FY19,0,3,6,0,0,0,2,0,2,2,9,7,2,5,,,,,,,,,,,
001_7523_FY19,3,13,25,43,18,,,,,,,,,,,,,,,,,,,,
001_7534_FY19,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
001_7537_FY19,15,55,24,36,23,,,,,,,,,,,,,,,,,,,,
001_7645_FY19,5,19,7,17,10,0,6,8,,,,,,,,,,,,,,,,,
001_7743_FY19,4,3,4,3,14,9,,,,,,,,,,,,,,,,,,,
001_7744_FY19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
001_7748_FY19,8,188,11,1,5,,,,,,,,,,,,,,,,,,,,
001_7950_FY19,8,18,7,60,114,,,,,,,,,,,,,,,,,,,,
001_8048_FY19,0,0,0,7,13,2,0,,,,,,,,,,,,,,,,,,
001_8181_FY19,6,6,6,21,,,,,,,,,,,,,,,,,,,,,
001_8206_FY19,14,16,20,24,30,,,,,,,,,,,,,,,,,,,,
001_8210_FY19,23,101,49,29,22,,,,,,,,,,,,,,,,,,,,
002_6180_FY19,4,19,18,3,1,3,27,,,,,,,,,,,,,,,,,,
002_6280_FY19,0,0,0,0,1,1,2,0,,,,,,,,,,,,,,,,,
002_6281_FY19,7,14,8,12,,,,,,,,,,,,,,,,,,,,,
002_6379_FY19,4,12,6,4,2,,,,,,,,,,,,,,,,,,,,
002_6387_FY19,0,24,51,5,54,51,,,,,,,,,,,,,,,,,,,
002_6389_FY19,0,1,12,2,8,8,,,,,,,,,,,,,,,,,,,
002_6396_FY19,3,45,23,12,17,14,28,7,0,1,4,10,,,,,,,,,,,,,
002_6399_FY19,0,1,2,0,0,3,,,,,,,,,,,,,,,,,,,
002_6493_FY19,1,11,27,11,,,,,,,,,,,,,,,,,,,,,
002_6496_FY19,2,3,2,2,,,,,,,,,,,,,,,,,,,,,
002_6503_FY19,0,0,1,1,0,1,0,,,,,,,,,,,,,,,,,,
002_6596_FY19,12,11,0,0,6,22,33,30,,,,,,,,,,,,,,,,,
002_6597_FY19,1,19,2,1,0,0,0,0,,,,,,,,,,,,,,,,,
