Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
001_5850_FY19,32.5,21.75,24.25,28.25,32.5,30.5,30.75,31.25,,,,,,,,,,,,,,,,,
001_5851_FY19,29.5,29.5,28.75,28,,,,,,,,,,,,,,,,,,,,,
001_5956_FY19,35,36.75,36.25,33.5,,,,,,,,,,,,,,,,,,,,,
001_6052_FY19,27,25,29.75,25,32.25,,,,,,,,,,,,,,,,,,,,
001_6166_FY19,30.5,33.75,34.75,34,,,,,,,,,,,,,,,,,,,,,
001_6271_FY19,25,19.75,22.25,32.25,31.75,34,33,,,,,,,,,,,,,,,,,,
001_6375_FY19,27.5,19.5,15.75,18.5,26,29.25,30.5,30.75,26.25,18.75,,,,,,,,,,,,,,,
001_6484_FY19,30.75,33.25,34.75,32.5,,,,,,,,,,,,,,,,,,,,,
001_6488_FY19,29.25,31.75,30.75,37,32.75,,,,,,,,,,,,,,,,,,,,
001_6593_FY19,30.75,28.75,29.25,29.25,,,,,,,,,,,,,,,,,,,,,
001_6701_FY19,25.75,26.25,33.25,24,29.25,25.5,26,,,,,,,,,,,,,,,,,,
001_6810_FY19,26.25,29,36,43.75,36.75,31.25,35.75,35,28.5,,,,,,,,,,,,,,,,
001_6910_FY19,36.25,31.25,29.5,30.25,33,31.5,31.5,,,,,,,,,,,,,,,,,,
001_6913_FY19,34,36.5,30,30.25,,,,,,,,,,,,,,,,,,,,,
001_6918_FY19,26,23,21.75,22.25,22.75,24.25,22.75,23,19,,,,,,,,,,,,,,,,
001_7000_FY19,28.5,17.75,14.75,18.25,26.25,29,30.25,30.5,26,17.25,22.5,,,,,,,,,,,,,,
001_7010_FY19,23.75,25.25,31.25,36,31.25,,,,,,,,,,,,,,,,,,,,
001_7014_FY19,34.5,36.5,30,30.25,,,,,,,,,,,,,,,,,,,,,
001_7016_FY19,28.5,20.5,17,18.5,25.75,29.5,30.75,31.75,25.75,21.25,27,34,34.75,29.75,30,,,,,,,,,,
001_7106_FY19,28.5,20.5,17,18.5,25.75,29.5,30.75,31.75,25.75,21.25,27,,,,,,,,,,,,,,
001_7112_FY19,27.75,28.5,28,29.25,29.25,,,,,,,,,,,,,,,,,,,,
001_7123_FY19,23.5,26.5,29.5,24.75,24.25,27,25.75,,,,,,,,,,,,,,,,,,
001_7124_FY19,34,29.75,29.25,26.75,30,30.75,24.75,25.25,,,,,,,,,,,,,,,,,
001_7214_FY19,27.5,30.25,25,28.75,30,,,,,,,,,,,,,,,,,,,,
001_7222_FY19,34.5,38,35.75,34.75,,,,,,,,,,,,,,,,,,,,,
001_7227_FY19,27,28.25,33,32.5,,,,,,,,,,,,,,,,,,,,,
001_7331_FY19,32.75,30.25,31.75,26.5,31.25,30.25,24.25,26.25,,,,,,,,,,,,,,,,,
001_7332_FY19,31,32,32,31.25,32,,,,,,,,,,,,,,,,,,,,
001_7333_FY19,30.25,34,28.75,20,17.75,24.5,24,31.25,26.5,29.25,30.5,30.5,28,23.25,,,,,,,,,,,
001_7523_FY19,29.25,22.25,28,30.5,30.5,,,,,,,,,,,,,,,,,,,,
001_7534_FY19,31,31.75,32.25,31.25,34.5,,,,,,,,,,,,,,,,,,,,
001_7537_FY19,28.25,30.5,36.5,32.25,30,,,,,,,,,,,,,,,,,,,,
001_7645_FY19,29.5,29.25,32.25,32,29.75,27.25,27.75,27.75,,,,,,,,,,,,,,,,,
001_7743_FY19,31.25,25,25.5,26.5,35.25,32.5,,,,,,,,,,,,,,,,,,,
001_7744_FY19,21,18,16.25,23.5,26,25.75,24.25,24.5,27.25,29.25,33,33,29,29.25,32.75,31,28,24.75,,,,,,,
001_7748_FY19,27.5,28.5,29.25,30.25,30.5,,,,,,,,,,,,,,,,,,,,
001_7950_FY19,24,19.25,22,33,31.25,,,,,,,,,,,,,,,,,,,,
001_8048_FY19,26.25,26.5,28.25,28.5,27.75,26.75,26,,,,,,,,,,,,,,,,,,
001_8181_FY19,29.25,30.5,32.25,32.5,,,,,,,,,,,,,,,,,,,,,
001_8206_FY19,25.75,26.75,29.5,23.25,26,,,,,,,,,,,,,,,,,,,,
001_8210_FY19,35,35.5,35.25,37.25,37.25,,,,,,,,,,,,,,,,,,,,
002_6180_FY19,31.25,31,26,26.75,30,30.75,30.5,,,,,,,,,,,,,,,,,,
002_6280_FY19,24.75,26.25,26.25,28.75,28.5,27.75,27,25.75,,,,,,,,,,,,,,,,,
002_6281_FY19,24.5,33.75,28.75,29.5,,,,,,,,,,,,,,,,,,,,,
002_6379_FY19,27.75,28.75,29.75,31.5,31.25,,,,,,,,,,,,,,,,,,,,
002_6387_FY19,27,30,30,28,28,27.75,,,,,,,,,,,,,,,,,,,
002_6389_FY19,24.25,25,25.25,34.5,32,27.25,,,,,,,,,,,,,,,,,,,
002_6396_FY19,34.5,35.25,35.5,35.5,37.5,34.5,30.75,23.25,18.75,22.75,26,25.5,,,,,,,,,,,,,
002_6399_FY19,34.5,31.75,29,29.5,29.5,26.75,,,,,,,,,,,,,,,,,,,
002_6493_FY19,30.25,33.25,34.75,35.25,,,,,,,,,,,,,,,,,,,,,
002_6496_FY19,36.25,32,25.75,32.25,,,,,,,,,,,,,,,,,,,,,
002_6503_FY19,18.5,17.5,23,25.25,27.25,31.75,29.75,,,,,,,,,,,,,,,,,,
002_6596_FY19,30.25,15.25,26.25,24.25,25.75,31,36.5,34,,,,,,,,,,,,,,,,,
002_6597_FY19,25.5,29.5,21.5,17.5,18,18.5,23.75,25.5,,,,,,,,,,,,,,,,,
002_6608_FY19,30,20.5,23.5,24.75,28.75,31.5,31.5,31.25,26,26.5,29.5,30.75,31.5,31,30.5,13.75,21.5,25.25,27.5,,,,,,
002_6711_FY19,26.75,24.5,29,24.5,30.25,,,,,,,,,,,,,,,,,,,,
002_6920_FY19,31.25,33.5,36,32.5,,,,,,,,,,,,,,,,,,,,,
002_6921_FY19,24.25,29.25,32.25,35.25,25.25,,,,,,,,,,,,,,,,,,,,
002_6923_FY19,24.25,27.75,30.75,25.5,25.25,28.25,26.5,,,,,,,,,,,,,,,,,,
002_6924_FY19,29.25,24.25,30,29,32.25,26.5,,,,,,,,,,,,,,,,,,,
002_6931_FY19,37.75,31.5,25.5,32,,,,,,,,,,,,,,,,,,,,,
002_7026_FY19,25.25,26.5,31.5,36.75,32,,,,,,,,,,,,,,,,,,,,
002_7230_FY19,30.5,29,32,26.25,30.75,29.75,33.5,,,,,,,,,,,,,,,,,,
002_7241_FY19,27.5,28,29.25,32,31.25,27,28.5,26.25,26.25,26.5,31,29.25,27.75,26.5,27.25,27.5,29,29.25,28.75,28,27.5,26.5,25.75,29.25,25.25
