Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
001_5850_FY19,23.34827586,16.24309392,14.42001385,13.85,15.32127955,16.52545328,17.86541144,20.21958042,,,,,,,,,,,,,,,,,
001_5851_FY19,25.9292328,26.05779392,25.93774704,25.73784494,,,,,,,,,,,,,,,,,,,,,
001_5956_FY19,27.49865952,25.5083668,27.12783712,26.58788282,,,,,,,,,,,,,,,,,,,,,
001_6052_FY19,25.16104079,24.26369382,25.16386555,23.79475524,25.0181311,,,,,,,,,,,,,,,,,,,,
001_6166_FY19,25.36906528,27.00222222,25.9262963,26.1957164,,,,,,,,,,,,,,,,,,,,,
001_6271_FY19,19.25,18.76485149,20.01488834,18.60341615,19.45361146,19.10861423,22.941875,,,,,,,,,,,,,,,,,,
001_6375_FY19,20.102194,8.214244521,6.617358708,11.21054147,19.99252014,22.94022989,22.16925287,25.55453502,17.97677752,6.58906071,,,,,,,,,,,,,,,
001_6484_FY19,24.45333333,25.63888889,24.38276627,24.3183161,,,,,,,,,,,,,,,,,,,,,
001_6488_FY19,24.81678832,24.23542274,23.92030568,26.79215116,25.36630435,,,,,,,,,,,,,,,,,,,,
001_6593_FY19,21.58776224,19.43242297,19.89817416,20.36971831,,,,,,,,,,,,,,,,,,,,,
001_6701_FY19,13.71795728,19.20180723,19.57037534,17.92775538,21.19448183,21.7071525,21.59324324,,,,,,,,,,,,,,,,,,
001_6810_FY19,22.32205683,19.89823609,21.72486413,24.45674387,24.88096862,23.98461012,15.025,16.77232143,18.68982118,,,,,,,,,,,,,,,,
001_6910_FY19,32.12960123,23.0989011,21.33435208,22.8057598,24.16380368,23.71248462,23.3474106,,,,,,,,,,,,,,,,,,
001_6913_FY19,24.7663827,23.94633508,24.4944517,23.20730117,,,,,,,,,,,,,,,,,,,,,
001_6918_FY19,18.67406542,10.4122807,14.37734192,16.33949531,12.93155112,16.93551237,17.75530035,19.19833729,15.82640449,,,,,,,,,,,,,,,,
001_7000_FY19,19.97369942,7.185409458,5.927131336,10.34821429,18.90966628,22.09683908,21.44001148,25.10045924,17.55303899,4.916857798,11.08848797,,,,,,,,,,,,,,
001_7010_FY19,21.93338323,22.03106287,24.05875749,25.17189836,25.4906577,,,,,,,,,,,,,,,,,,,,
001_7014_FY19,25.23820446,24.4921466,25.04765013,23.7845502,,,,,,,,,,,,,,,,,,,,,
001_7016_FY19,19.08988439,5.46828143,3.656970046,8.46514977,17.2566168,20.61005747,19.59816303,24.0249713,16.45212156,2.22021764,10.12514318,25.58781127,24.68160995,25.09497389,23.79172099,,,,,,,,,,
001_7106_FY19,19.08988439,5.46828143,3.656970046,8.46514977,17.2566168,20.61005747,19.59816303,24.0249713,16.45212156,2.22021764,10.12514318,,,,,,,,,,,,,,
001_7112_FY19,22.59746377,20.90225291,18.88989826,18.36552478,19.89358601,,,,,,,,,,,,,,,,,,,,
001_7123_FY19,22.41491754,23.42766117,25.62987988,22.81184408,23.85644678,23.81821589,23.33558559,,,,,,,,,,,,,,,,,,
001_7124_FY19,24.84285714,23.62965616,22.22166428,23.70510057,23.48342939,23.07287157,22.97001445,21.22865412,,,,,,,,,,,,,,,,,
001_7214_FY19,21.63862275,23.35991637,22.34427208,23.04082241,23.55558859,,,,,,,,,,,,,,,,,,,,
001_7222_FY19,26.62131367,24.59525401,26.08711615,25.99833333,,,,,,,,,,,,,,,,,,,,,
001_7227_FY19,25.38759214,24.82055215,25.0128519,24.98565324,,,,,,,,,,,,,,,,,,,,,
001_7331_FY19,24.0925,23.24212034,21.91642755,23.1329023,23.06880403,22.57864358,22.11741329,21.13856729,,,,,,,,,,,,,,,,,
001_7332_FY19,20.50840336,19.83005618,20.39788732,22.22038082,22.53076379,,,,,,,,,,,,,,,,,,,,
001_7333_FY19,17.19153226,17.27905639,23.00143678,7.266954023,6.192594719,6.131020642,7.151949541,10.82588774,16.14747995,16.11842105,17.92191076,21.57057143,21.36244292,20.54828571,,,,,,,,,,,
001_7523_FY19,15.55720093,16.41241299,16.63789108,19.01099537,16.34751157,,,,,,,,,,,,,,,,,,,,
001_7534_FY19,25.13609661,24.22457627,22.86979167,23.42467532,22.1761658,,,,,,,,,,,,,,,,,,,,
001_7537_FY19,20.57767978,21.76766304,24.12840599,24.41371078,23.70486656,,,,,,,,,,,,,,,,,,,,
001_7645_FY19,20.7316825,22.5390625,24.49250681,25.22783083,23.39911081,15.37089041,17.71085165,22.05852417,,,,,,,,,,,,,,,,,
001_7743_FY19,26.30635838,22.99349711,24.79682997,24.97341954,27.17708333,26.50393983,,,,,,,,,,,,,,,,,,,
001_7744_FY19,18.11247153,16.80786773,9.471526196,4.972348917,7.157639681,9.637400228,14.21579247,17.79304447,21.9303653,22.83989726,21.28310502,19.84628571,19.27,17.784,19.89731121,21.20022883,18.79810997,15.48178138,,,,,,,
