Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
001_5850_FY19,20.75,12,11.75,9.5,10,11.25,13,17.5,,,,,,,,,,,,,,,,,
001_5851_FY19,25,24.75,24.25,24.25,,,,,,,,,,,,,,,,,,,,,
001_5956_FY19,23.25,21.25,24,23.5,,,,,,,,,,,,,,,,,,,,,
001_6052_FY19,24,23.5,22.75,22.75,23.25,,,,,,,,,,,,,,,,,,,,
001_6166_FY19,22.5,24.5,23,23.25,,,,,,,,,,,,,,,,,,,,,
001_6271_FY19,17,16,18.25,15.25,14.5,14,20.5,,,,,,,,,,,,,,,,,,
001_6375_FY19,14.25,2.25,4.5,8.5,18.25,20.5,19.25,23,11.75,3,,,,,,,,,,,,,,,
001_6484_FY19,21,22.25,20.25,20.5,,,,,,,,,,,,,,,,,,,,,
001_6488_FY19,23,22.5,21.25,23.75,23,,,,,,,,,,,,,,,,,,,,
001_6593_FY19,18.25,13,14.5,14.5,,,,,,,,,,,,,,,,,,,,,
001_6701_FY19,9.25,15.5,15,15.75,16.75,20.25,19.5,,,,,,,,,,,,,,,,,,
001_6810_FY19,20.25,16.5,18,22,20.75,20.25,10.75,11.75,14,,,,,,,,,,,,,,,,
001_6910_FY19,24.5,20.75,17.75,17.75,21.75,20.5,19.75,,,,,,,,,,,,,,,,,,
001_6913_FY19,20.75,21,20.25,20.5,,,,,,,,,,,,,,,,,,,,,
001_6918_FY19,16.5,5.75,12,13.25,8.75,13.5,14.75,17.75,12.5,,,,,,,,,,,,,,,,
001_7000_FY19,14,1,4,7.75,17.5,19.25,18.75,22.75,10.75,1.75,8,,,,,,,,,,,,,,
001_7010_FY19,21,20.25,21.5,21.75,22.75,,,,,,,,,,,,,,,,,,,,
001_7014_FY19,21.5,21.5,21,21.25,,,,,,,,,,,,,,,,,,,,,
001_7016_FY19,13,1.75,0.75,5.5,15.75,17.5,16.75,21.75,10.25,2,7,21.25,21.5,20.75,21,,,,,,,,,,
001_7106_FY19,13,1.75,0.75,5.5,15.75,17.5,16.75,21.75,10.25,2,7,,,,,,,,,,,,,,
001_7112_FY19,20.5,18.5,15.25,14.25,16.75,,,,,,,,,,,,,,,,,,,,
001_7123_FY19,21,22.25,24.25,21.5,23.25,23.25,22.5,,,,,,,,,,,,,,,,,,
001_7124_FY19,20.75,20.5,20.25,20.75,20,21.25,21.75,19.75,,,,,,,,,,,,,,,,,
001_7214_FY19,19.5,19.5,21.25,19.5,21.5,,,,,,,,,,,,,,,,,,,,
001_7222_FY19,23,21,23.75,23,,,,,,,,,,,,,,,,,,,,,
001_7227_FY19,24.5,23,22.75,22.5,,,,,,,,,,,,,,,,,,,,,
001_7331_FY19,20.25,20.25,19.75,20.5,19.5,20.5,21,19.75,,,,,,,,,,,,,,,,,
001_7332_FY19,16,15,14.5,19,19.5,,,,,,,,,,,,,,,,,,,,
001_7333_FY19,12,13.5,18.5,1.25,3.25,2,4.5,5.5,12.5,10.25,14,19,19.75,18.5,,,,,,,,,,,
001_7523_FY19,13.25,14,13.75,16,12.75,,,,,,,,,,,,,,,,,,,,
001_7534_FY19,21,21.5,20,19.5,18.25,,,,,,,,,,,,,,,,,,,,
001_7537_FY19,17.25,18.25,22,20.75,21,,,,,,,,,,,,,,,,,,,,
001_7645_FY19,17,19,22.25,21.5,20,11.5,13.25,18.5,,,,,,,,,,,,,,,,,
001_7743_FY19,22.75,22,23.5,24,24.25,24,,,,,,,,,,,,,,,,,,,
001_7744_FY19,16.75,15,4.75,1,2.75,6.5,10.5,15.25,19.5,20.25,18.75,14.25,14.75,14.5,15,18.5,13.75,10.75,,,,,,,
001_7748_FY19,20,18,14.75,13.5,15.75,,,,,,,,,,,,,,,,,,,,
001_7950_FY19,16.25,14.75,16.75,14.25,17.75,,,,,,,,,,,,,,,,,,,,
001_8048_FY19,23,24.25,24.75,25.75,25.75,25.5,25,,,,,,,,,,,,,,,,,,
001_8181_FY19,19.75,15.75,14.5,17,,,,,,,,,,,,,,,,,,,,,
001_8206_FY19,9.25,11,14,12,12.25,,,,,,,,,,,,,,,,,,,,
001_8210_FY19,25.25,23.5,23.25,23.75,22.75,,,,,,,,,,,,,,,,,,,,
002_6180_FY19,19.75,18.5,19.25,14.25,14.25,13.75,15,,,,,,,,,,,,,,,,,,
002_6280_FY19,22.5,22.5,23.75,24.25,25.25,25.25,25,24.75,,,,,,,,,,,,,,,,,
002_6281_FY19,19.5,18.25,19.75,19.5,,,,,,,,,,,,,,,,,,,,,
002_6379_FY19,20.5,19.25,15.25,14,16,,,,,,,,,,,,,,,,,,,,
002_6387_FY19,8,11.25,9.25,12,13.5,18.5,,,,,,,,,,,,,,,,,,,
002_6389_FY19,21.75,23,23,23.25,23.25,23,,,,,,,,,,,,,,,,,,,
002_6396_FY19,24.5,23,23,23.75,22.5,17.75,20.25,7.75,8.75,9.5,13.25,11.75,,,,,,,,,,,,,
002_6399_FY19,22.75,22.75,24.75,24.25,24,23.75,,,,,,,,,,,,,,,,,,,
002_6493_FY19,17.5,17.5,18.5,18.5,,,,,,,,,,,,,,,,,,,,,
002_6496_FY19,24.75,25.5,24.25,25.25,,,,,,,,,,,,,,,,,,,,,
002_6503_FY19,13,15.75,13.75,8.25,6,13,14,,,,,,,,,,,,,,,,,,
002_6596_FY19,16.75,5.25,2.25,7.25,12,15.25,16.5,15.5,,,,,,,,,,,,,,,,,
002_6597_FY19,13.75,16.25,11.25,3.75,3.75,2,8.5,11.5,,,,,,,,,,,,,,,,,
002_6608_FY19,15.75,6.25,12.5,13.5,18.25,19.25,19.75,20,16.75,15,17.75,18.75,20.25,21,15.25,8.5,11.5,12.25,14.25,,,,,,
002_6711_FY19,23.75,23,23,23,23.5,,,,,,,,,,,,,,,,,,,,
002_6920_FY19,22.75,25,23.5,23.75,,,,,,,,,,,,,,,,,,,,,
002_6921_FY19,20,6.25,12.5,19.75,19.5,,,,,,,,,,,,,,,,,,,,
002_6923_FY19,22.25,23.25,25,22.5,24,23.75,23.25,,,,,,,,,,,,,,,,,,
002_6924_FY19,23.5,23.25,23.75,24,23.75,24.25,,,,,,,,,,,,,,,,,,,
002_6931_FY19,21.75,23.25,22.25,24,,,,,,,,,,,,,,,,,,,,,
002_7026_FY19,23,22,23,24.25,25,,,,,,,,,,,,,,,,,,,,
002_7230_FY19,23.25,22,23.5,23,21.5,21.75,22.25,,,,,,,,,,,,,,,,,,
002_7241_FY19,22.5,21.75,21,23.25,22.5,22.75,22.75,22.5,23.75,23.75,23.5,23.5,23,22.25,22,23.25,23.75,24.25,25.25,25.25,25,23.5,23.5,22.75,23.25
002_7347_FY19,13.5,1.25,3.25,7.75,17.75,20.75,19.75,22.5,11,1.75,,,,,,,,,,,,,,,
002_7449_FY19,20.75,23.25,20.5,22.5,21.75,21.25,23,,,,,,,,,,,,,,,,,,
002_7547_FY19,13.5,16,15.75,17.75,14.75,,,,,,,,,,,,,,,,,,,,
002_7552_FY19,25,23.75,23.75,24.25,23.25,,,,,,,,,,,,,,,,,,,,
002_7553_FY19,22.25,14.25,11.75,12.25,11,7.5,7.75,12,,,,,,,,,,,,,,,,,
002_7754_FY19,14,16.5,16.25,18,15.5,,,,,,,,,,,,,,,,,,,,
002_7855_FY19,23.5,24.25,24.25,24.25,23.5,,,,,,,,,,,,,,,,,,,,
002_7862_FY19,2,12.25,19.5,14.75,2.75,2,13.25,18,18.75,13,11,,,,,,,,,,,,,,
002_7866_FY19,14.75,14.75,15,18.25,18,,,,,,,,,,,,,,,,,,,,
002_7868_FY19,19.75,20.75,21.75,19.25,20.75,,,,,,,,,,,,,,,,,,,,
002_8053_FY19,20.75,20.5,21,20.25,18.25,,,,,,,,,,,,,,,,,,,,
002_8184_FY19,7.75,10.5,11.25,13.5,16.25,,,,,,,,,,,,,,,,,,,,
002_8215_FY19,17.5,19,21.5,20.75,,,,,,,,,,,,,,,,,,,,,
002_8222_FY19,7,7.75,14,12.25,15.25,19.5,20.25,20,20.5,8.75,14.25,20.5,20.25,9.25,,,,,,,,,,,
003_5231_FY19,14,13.5,17.5,18.25,18.25,19.25,21.75,20,,,,,,,,,,,,,,,,,
003_5337_FY19,2.25,5,3.25,5.25,6.25,12,10.75,13.75,18.75,19.75,19,19.5,9.25,12.25,18.25,,,,,,,,,,
003_5444_FY19,20.75,21.5,23.5,21,22.5,22,21.5,,,,,,,,,,,,,,,,,,
003_5450_FY19,19.5,19.5,18.75,18,17.25,,,,,,,,,,,,,,,,,,,,
003_5551_FY19,23,24.75,24,24,,,,,,,,,,,,,,,,,,,,,
003_5555_FY19,21.75,20,17.5,20.5,21.5,23.25,23.25,22.5,23,,,,,,,,,,,,,,,,
003_5647_FY19,17.25,20.25,23.25,23.75,21,20.75,,,,,,,,,,,,,,,,,,,
003_5654_FY19,13,14.25,15,11.75,12.75,15.75,,,,,,,,,,,,,,,,,,,
