site,RecordingDate,Primary,Secondary,Detection
001_5850_FY19,4/18/2019,1,1,0
001_5850_FY19,4/18/2019,1,2,0
001_5850_FY19,4/18/2019,1,3,0
001_5850_FY19,4/19/2019,2,1,0
001_5850_FY19,4/19/2019,2,2,0
001_5850_FY19,4/19/2019,2,3,0
001_5850_FY19,4/20/2019,3,1,0
001_5850_FY19,4/20/2019,3,2,0
001_5850_FY19,4/20/2019,3,3,0
001_5850_FY19,4/21/2019,4,1,0
001_5850_FY19,4/21/2019,4,2,0
001_5850_FY19,4/21/2019,4,3,0
001_5850_FY19,4/22/2019,5,1,0
001_5850_FY19,4/22/2019,5,2,0
001_5850_FY19,4/22/2019,5,3,0
001_5850_FY19,4/23/2019,6,1,0
001_5850_FY19,4/23/2019,6,2,0
001_5850_FY19,4/23/2019,6,3,0
001_5850_FY19,4/24/2019,7,1,0
001_5850_FY19,4/24/2019,7,2,0
001_5850_FY19,4/24/2019,7,3,0
001_5850_FY19,4/25/2019,8,1,0
001_5850_FY19,4/25/2019,8,2,0
001_5850_FY19,4/25/2019,8,3,0
001_5850_FY19,4/26/2019,9,1,0
001_5850_FY19,4/26/2019,9,2,0
001_5850_FY19,4/26/2019,9,3,0
001_5851_FY19,9/12/2019,1,1,0
001_5851_FY19,9/12/2019,1,2,0
001_5851_FY19,9/12/2019,1,3,0
001_5851_FY19,9/13/2019,2,1,0
001_5851_FY19,9/13/2019,2,2,0
001_5851_FY19,9/13/2019,2,3,0
001_5851_FY19,9/14/2019,3,1,0
001_5851_FY19,9/14/2019,3,2,0
001_5851_FY19,9/14/2019,3,3,0
001_5851_FY19,9/15/2019,4,1,0
001_5851_FY19,9/15/2019,4,2,1
001_5851_FY19,9/15/2019,4,3,0
001_5851_FY19,9/16/2019,5,1,0
001_5851_FY19,9/16/2019,5,2,0
001_5851_FY19,9/16/2019,5,3,0
001_5956_FY19,9/6/2019,1,1,0
001_5956_FY19,9/6/2019,1,2,0
001_5956_FY19,9/6/2019,1,3,0
001_5956_FY19,9/7/2019,2,1,0
001_5956_FY19,9/7/2019,2,2,0
001_5956_FY19,9/7/2019,2,3,0
001_5956_FY19,9/8/2019,3,1,0
001_5956_FY19,9/8/2019,3,2,0
001_5956_FY19,9/8/2019,3,3,0
001_5956_FY19,9/9/2019,4,1,0
001_5956_FY19,9/9/2019,4,2,1
001_5956_FY19,9/9/2019,4,3,0
001_5956_FY19,9/10/2019,5,1,0
001_5956_FY19,9/10/2019,5,2,1
001_5956_FY19,9/10/2019,5,3,0
001_6052_FY19,8/14/2019,1,1,0
001_6052_FY19,8/14/2019,1,2,0
001_6052_FY19,8/14/2019,1,3,0
001_6052_FY19,8/15/2019,2,1,0
001_6052_FY19,8/15/2019,2,2,0
001_6052_FY19,8/15/2019,2,3,0
001_6052_FY19,8/16/2019,3,1,0
001_6052_FY19,8/16/2019,3,2,0
001_6052_FY19,8/16/2019,3,3,0
001_6052_FY19,8/17/2019,4,1,0
001_6052_FY19,8/17/2019,4,2,0
001_6052_FY19,8/17/2019,4,3,0
001_6052_FY19,8/18/2019,5,1,0
001_6052_FY19,8/18/2019,5,2,0
001_6052_FY19,8/18/2019,5,3,0
001_6052_FY19,8/19/2019,6,1,0
001_6052_FY19,8/19/2019,6,2,0
001_6052_FY19,8/19/2019,6,3,0
001_6166_FY19,7/12/2019,1,1,0
001_6166_FY19,7/12/2019,1,2,0
001_6166_FY19,7/12/2019,1,3,0
001_6166_FY19,7/13/2019,2,1,0
001_6166_FY19,7/13/2019,2,2,0
001_6166_FY19,7/13/2019,2,3,0
001_6166_FY19,7/14/2019,3,1,0
001_6166_FY19,7/14/2019,3,2,1
001_6166_FY19,7/14/2019,3,3,1
001_6166_FY19,7/15/2019,4,1,0
001_6166_FY19,7/15/2019,4,2,0
001_6166_FY19,7/15/2019,4,3,0
001_6166_FY19,7/16/2019,5,1,0
001_6166_FY19,7/16/2019,5,2,0
001_6166_FY19,7/16/2019,5,3,0
001_6271_FY19,2/25/2019,1,1,1
001_6271_FY19,2/25/2019,1,2,1
001_6271_FY19,2/25/2019,1,3,0
001_6271_FY19,2/26/2019,2,1,0
001_6271_FY19,2/26/2019,2,2,0
001_6271_FY19,2/26/2019,2,3,1
001_6271_FY19,2/27/2019,3,1,1
001_6271_FY19,2/27/2019,3,2,0
001_6271_FY19,2/27/2019,3,3,1
001_6271_FY19,2/28/2019,4,1,1
001_6271_FY19,2/28/2019,4,2,0
001_6271_FY19,2/28/2019,4,3,1
001_6271_FY19,3/1/2019,5,1,1
001_6271_FY19,3/1/2019,5,2,1
001_6271_FY19,3/1/2019,5,3,1
001_6271_FY19,3/2/2019,6,1,0
001_6271_FY19,3/2/2019,6,2,1
001_6271_FY19,3/2/2019,6,3,1
001_6271_FY19,3/3/2019,7,1,0
001_6271_FY19,3/3/2019,7,2,0
001_6271_FY19,3/3/2019,7,3,1
001_6271_FY19,3/4/2019,8,1,0
001_6271_FY19,3/4/2019,8,2,0
001_6271_FY19,3/4/2019,8,3,0
001_6375_FY19,11/26/2018,1,1,0
001_6375_FY19,11/26/2018,1,2,0
001_6375_FY19,11/26/2018,1,3,0
001_6375_FY19,11/27/2018,2,1,0
001_6375_FY19,11/27/2018,2,2,0
