Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
001_5850_FY19,0,5,11,25,4,24,23,14,,,,,,,,,,,,,,,,,
001_5851_FY19,1,75,69,113,,,,,,,,,,,,,,,,,,,,,
001_5956_FY19,15,8,152,29,,,,,,,,,,,,,,,,,,,,,
001_6052_FY19,0,6,24,58,1,,,,,,,,,,,,,,,,,,,,
001_6166_FY19,41,52,137,77,,,,,,,,,,,,,,,,,,,,,
001_6271_FY19,22,16,9,29,25,19,43,,,,,,,,,,,,,,,,,,
001_6375_FY19,4,1,0,0,5,70,121,25,11,1,,,,,,,,,,,,,,,
001_6484_FY19,86,200,146,124,,,,,,,,,,,,,,,,,,,,,
001_6488_FY19,63,48,90,201,101,,,,,,,,,,,,,,,,,,,,
001_6593_FY19,49,236,35,141,,,,,,,,,,,,,,,,,,,,,
001_6701_FY19,1,15,18,3,27,14,13,,,,,,,,,,,,,,,,,,
001_6810_FY19,26,111,26,45,21,25,13,4,23,,,,,,,,,,,,,,,,
001_6910_FY19,4,7,1,10,23,21,13,,,,,,,,,,,,,,,,,,
001_6913_FY19,87,333,197,205,,,,,,,,,,,,,,,,,,,,,
001_6918_FY19,10,10,9,30,13,25,54,46,20,,,,,,,,,,,,,,,,
001_7000_FY19,8,7,17,15,30,50,30,18,48,12,17,,,,,,,,,,,,,,
001_7010_FY19,5,138,25,55,27,,,,,,,,,,,,,,,,,,,,
001_7014_FY19,9,119,46,45,,,,,,,,,,,,,,,,,,,,,
001_7016_FY19,0,0,0,0,0,0,0,0,0,0,0,58,200,393,61,,,,,,,,,,
001_7106_FY19,5,2,0,0,3,8,17,9,32,1,2,,,,,,,,,,,,,,
001_7112_FY19,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
001_7123_FY19,0,0,6,5,0,5,12,,,,,,,,,,,,,,,,,,
001_7124_FY19,77,208,52,420,464,159,2,0,,,,,,,,,,,,,,,,,
001_7214_FY19,8,101,32,56,49,,,,,,,,,,,,,,,,,,,,
001_7222_FY19,24,61,96,67,,,,,,,,,,,,,,,,,,,,,
001_7227_FY19,47,49,62,12,,,,,,,,,,,,,,,,,,,,,
