Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
001_5850_FY19,11.08333333,11.06666667,11.03333333,11,10.98333333,10.95,10.95,10.91666667,,,,,,,,,,,,,,,,,
001_5851_FY19,11.6,11.61666667,11.65,11.68333333,,,,,,,,,,,,,,,,,,,,,
001_5956_FY19,11.43333333,11.45,11.48333333,11.51666667,,,,,,,,,,,,,,,,,,,,,
001_6052_FY19,10.85,10.86666667,10.9,10.91666667,10.95,,,,,,,,,,,,,,,,,,,,
001_6166_FY19,10.23333333,10.25,10.25,10.28333333,,,,,,,,,,,,,,,,,,,,,
001_6271_FY19,12.5,12.46666667,12.43333333,12.41666667,12.38333333,12.35,12.33333333,,,,,,,,,,,,,,,,,,
001_6375_FY19,13.43333333,13.45,13.45,13.46666667,13.48333333,13.5,13.5,13.51666667,13.53333333,13.55,,,,,,,,,,,,,,,
001_6484_FY19,10.25,10.25,10.26666667,10.28333333,,,,,,,,,,,,,,,,,,,,,
001_6488_FY19,10.41666667,10.43333333,10.45,10.46666667,10.5,,,,,,,,,,,,,,,,,,,,
001_6593_FY19,10.91666667,10.9,10.86666667,10.83333333,,,,,,,,,,,,,,,,,,,,,
001_6701_FY19,11.48333333,11.45,11.43333333,11.4,11.38333333,11.35,11.33333333,,,,,,,,,,,,,,,,,,
001_6810_FY19,11.31666667,11.28333333,11.26666667,11.23333333,11.21666667,11.18333333,11.16666667,11.13333333,11.11666667,,,,,,,,,,,,,,,,
001_6910_FY19,4.433333333,12.65,12.63333333,12.6,12.58333333,12.55,12.51666667,,,,,,,,,,,,,,,,,,
001_6913_FY19,11.71666667,11.73333333,11.76666667,11.78333333,,,,,,,,,,,,,,,,,,,,,
001_6918_FY19,13.26666667,13.25,13.23333333,13.2,13.18333333,13.15,13.15,13.03333333,6.416666667,,,,,,,,,,,,,,,,
001_7000_FY19,13.41666667,13.45,13.46666667,13.46666667,13.48333333,13.5,13.51666667,13.51666667,13.53333333,13.53333333,13.55,,,,,,,,,,,,,,
001_7010_FY19,10.13333333,10.13333333,10.13333333,10.15,10.15,,,,,,,,,,,,,,,,,,,,
001_7014_FY19,11.71666667,11.73333333,11.76666667,11.78333333,,,,,,,,,,,,,,,,,,,,,
001_7016_FY19,13.41666667,13.45,13.46666667,13.46666667,13.48333333,13.5,13.51666667,13.51666667,13.53333333,13.55,13.55,11.71666667,11.73333333,11.76666667,11.78333333,,,,,,,,,,
001_7106_FY19,13.41666667,13.45,13.46666667,13.46666667,13.48333333,13.5,13.51666667,13.51666667,13.53333333,13.55,13.55,,,,,,,,,,,,,,
001_7112_FY19,10.5,10.46666667,10.46666667,10.43333333,10.43333333,,,,,,,,,,,,,,,,,,,,
001_7123_FY19,10.11666667,10.11666667,10.1,10.11666667,10.11666667,10.11666667,10.1,,,,,,,,,,,,,,,,,,
001_7124_FY19,10.66666667,10.63333333,10.61666667,10.6,10.56666667,10.55,10.53333333,10.51666667,,,,,,,,,,,,,,,,,
001_7214_FY19,12.91666667,12.95,12.96666667,12.98333333,13.01666667,,,,,,,,,,,,,,,,,,,,
001_7222_FY19,11.43333333,11.46666667,11.48333333,11.5,,,,,,,,,,,,,,,,,,,,,
001_7227_FY19,12.56666667,12.58333333,12.61666667,12.65,,,,,,,,,,,,,,,,,,,,,
001_7331_FY19,10.66666667,10.63333333,10.61666667,10.6,10.56666667,10.55,10.53333333,10.51666667,,,,,,,,,,,,,,,,,
001_7332_FY19,10.9,10.86666667,10.83333333,10.81666667,10.78333333,,,,,,,,,,,,,,,,,,,,
001_7333_FY19,13.46666667,13.48333333,13.5,13.5,13.51666667,13.53333333,13.53333333,13.55,13.55,13.56666667,13.56666667,13.58333333,13.6,13.58333333,,,,,,,,,,,
001_7523_FY19,13.35,13.36666667,13.38333333,13.4,13.4,,,,,,,,,,,,,,,,,,,,
001_7534_FY19,11.76666667,11.78333333,11.8,11.83333333,11.86666667,,,,,,,,,,,,,,,,,,,,
001_7537_FY19,11.28333333,11.26666667,11.23333333,11.21666667,9.616666667,,,,,,,,,,,,,,,,,,,,
001_7645_FY19,11.28333333,11.26666667,11.23333333,11.21666667,11.18333333,11.16666667,11.13333333,5.55,,,,,,,,,,,,,,,,,
001_7743_FY19,10.53333333,10.53333333,10.56666667,10.6,10.6,10.63333333,,,,,,,,,,,,,,,,,,,
001_7744_FY19,13.63333333,13.61666667,13.63333333,13.61666667,13.61666667,13.61666667,13.61666667,13.61666667,13.6,13.6,13.6,13.58333333,13.58333333,13.58333333,13.56666667,13.56666667,13.55,3.116666667,,,,,,,
001_7748_FY19,10.5,10.48333333,10.45,10.43333333,10.41666667,,,,,,,,,,,,,,,,,,,,
001_7950_FY19,12.5,12.46666667,12.43333333,12.41666667,4.55,,,,,,,,,,,,,,,,,,,,
001_8048_FY19,10.68333333,10.71666667,10.73333333,10.76666667,10.78333333,10.81666667,10.81666667,,,,,,,,,,,,,,,,,,
001_8181_FY19,10.48333333,10.45,10.43333333,10.41666667,,,,,,,,,,,,,,,,,,,,,
001_8206_FY19,11.63333333,11.6,11.55,11.53333333,11.5,,,,,,,,,,,,,,,,,,,,
001_8210_FY19,10.1,10.11666667,10.11666667,10.1,10.1,,,,,,,,,,,,,,,,,,,,
002_6180_FY19,13.03333333,13.06666667,13.08333333,13.1,13.11666667,13.15,13.16666667,,,,,,,,,,,,,,,,,,
002_6280_FY19,10.68333333,10.7,10.71666667,10.73333333,10.76666667,10.78333333,10.81666667,10.81666667,,,,,,,,,,,,,,,,,
002_6281_FY19,10.75,10.73333333,10.7,10.68333333,,,,,,,,,,,,,,,,,,,,,
002_6379_FY19,10.5,10.48333333,10.45,10.43333333,10.41666667,,,,,,,,,,,,,,,,,,,,
002_6387_FY19,13.41666667,13.43333333,13.45,13.46666667,13.48333333,13.48333333,,,,,,,,,,,,,,,,,,,
002_6389_FY19,10.55,10.56666667,10.58333333,10.61666667,10.61666667,10.65,,,,,,,,,,,,,,,,,,,
002_6396_FY19,10.1,10.1,10.11666667,10.11666667,10.1,12.26666667,12.25,12.23333333,12.2,12.18333333,12.15,12.13333333,,,,,,,,,,,,,
002_6399_FY19,11.55,11.56666667,11.6,11.61666667,11.63333333,11.68333333,,,,,,,,,,,,,,,,,,,
002_6493_FY19,11.85,11.91666667,11.95,11.96666667,,,,,,,,,,,,,,,,,,,,,
002_6496_FY19,10.15,10.15,10.15,10.16666667,,,,,,,,,,,,,,,,,,,,,
002_6503_FY19,11.88333333,11.9,11.88333333,11.83333333,11.8,11.78333333,11.75,,,,,,,,,,,,,,,,,,
002_6596_FY19,12.3,12.28333333,12.25,12.23333333,12.2,12.16666667,12.15,12.11666667,,,,,,,,,,,,,,,,,
002_6597_FY19,12.51666667,12.5,12.46666667,12.45,12.43333333,12.38333333,12.36666667,12.33333333,,,,,,,,,,,,,,,,,
002_6608_FY19,12.98333333,12.96666667,12.93333333,12.9,12.88333333,12.86666667,12.83333333,12.81666667,12.8,12.76666667,12.73333333,12.7,12.68333333,12.66666667,12.63333333,12.61666667,12.58333333,12.55,12.53333333,,,,,,
002_6711_FY19,10.85,10.86666667,10.9,10.91666667,10.95,,,,,,,,,,,,,,,,,,,,
002_6920_FY19,10.23333333,10.25,10.25,10.28333333,,,,,,,,,,,,,,,,,,,,,
002_6921_FY19,13.6,13.6,13.6,13.61666667,13.61666667,,,,,,,,,,,,,,,,,,,,
002_6923_FY19,10.11666667,10.11666667,10.11666667,10.11666667,10.11666667,10.11666667,10.1,,,,,,,,,,,,,,,,,,
